fiscal_year,county_code,county_name,allocation_mn,source_url
2014/15,013,Tharaka-Nithi,2470.6,cra.go.ke
2014/15,014,Embu,2901.2,cra.go.ke
2014/15,015,Kitui,5077.2,cra.go.ke
2014/15,016,Machakos,5031.9,cra.go.ke
2014/15,017,Makueni,4283.9,cra.go.ke
2014/15,018,Nyandarua,3082.6,cra.go.ke
2014/15,019,Nyeri,3422.6,cra.go.ke
2014/15,020,Kirinyaga,2606.6,cra.go.ke
2014/15,021,Murang'a,3966.6,cra.go.ke
2014/15,022,Kiambu,6051.8,cra.go.ke
2014/15,023,Turkana,6187.8,cra.go.ke
2014/15,024,West Pokot,3195.9,cra.go.ke
2014/15,025,Samburu,2765.3,cra.go.ke
2014/15,026,Trans-Nzoia,3535.9,cra.go.ke
2014/15,027,Uasin Gishu,3921.2,cra.go.ke
2014/15,028,Elgeyo-Marakwet,2583.9,cra.go.ke
2014/15,029,Nandi,3649.2,cra.go.ke
2014/15,030,Baringo,3445.2,cra.go.ke
2014/15,031,Laikipia,2787.9,cra.go.ke
2014/15,032,Nakuru,6437.1,cra.go.ke
2014/15,033,Narok,4487.9,cra.go.ke
2014/15,034,Kajiado,4057.2,cra.go.ke
2014/15,035,Kericho,3422.6,cra.go.ke
2014/15,036,Bomet,3354.6,cra.go.ke
2014/15,037,Kakamega,6459.8,cra.go.ke
2014/15,038,Vihiga,2629.3,cra.go.ke
2014/15,039,Bungoma,5485.2,cra.go.ke
2014/15,040,Busia,3422.6,cra.go.ke
2014/15,041,Siaya,3671.9,cra.go.ke
2014/15,042,Kisumu,4465.2,cra.go.ke
2014/15,043,Homa Bay,4147.9,cra.go.ke
2014/15,044,Migori,4034.5,cra.go.ke
2014/15,045,Kisii,4759.9,cra.go.ke
2014/15,046,Nyamira,2674.6,cra.go.ke
2014/15,047,Nairobi,9882.4,cra.go.ke
2015/16,001,Mombasa,6078.7,cra.go.ke
2015/16,002,Kwale,4260.3,cra.go.ke
2015/16,003,Kilifi,6416.4,cra.go.ke
2015/16,004,Tana River,3377.1,cra.go.ke
2015/16,005,Lamu,2286.0,cra.go.ke
2015/16,006,Taita-Taveta,2987.4,cra.go.ke
2015/16,007,Garissa,4572.0,cra.go.ke
2015/16,008,Wajir,4598.0,cra.go.ke
2015/16,009,Mandera,4961.7,cra.go.ke
2015/16,010,Marsabit,4104.4,cra.go.ke
2015/16,011,Isiolo,2779.6,cra.go.ke
2015/16,012,Meru,6338.5,cra.go.ke
2015/16,013,Tharaka-Nithi,2831.5,cra.go.ke
2015/16,014,Embu,3325.1,cra.go.ke
2015/16,015,Kitui,5818.9,cra.go.ke
2015/16,016,Machakos,5767.0,cra.go.ke
2015/16,017,Makueni,4909.7,cra.go.ke
2015/16,018,Nyandarua,3532.9,cra.go.ke
2015/16,019,Nyeri,3922.6,cra.go.ke
2015/16,020,Kirinyaga,2987.4,cra.go.ke
2015/16,021,Murang'a,4546.0,cra.go.ke
2015/16,022,Kiambu,6936.0,cra.go.ke
2015/16,023,Turkana,7091.8,cra.go.ke
2015/16,024,West Pokot,3662.8,cra.go.ke
2015/16,025,Samburu,3169.2,cra.go.ke
2015/16,026,Trans-Nzoia,4052.5,cra.go.ke
2015/16,027,Uasin Gishu,4494.1,cra.go.ke
2015/16,028,Elgeyo-Marakwet,2961.4,cra.go.ke
2015/16,029,Nandi,4182.4,cra.go.ke
2015/16,030,Baringo,3948.6,cra.go.ke
2015/16,031,Laikipia,3195.2,cra.go.ke
2015/16,032,Nakuru,7377.6,cra.go.ke
2015/16,033,Narok,5143.5,cra.go.ke
2015/16,034,Kajiado,4650.0,cra.go.ke
2015/16,035,Kericho,3922.6,cra.go.ke
2015/16,036,Bomet,3844.7,cra.go.ke
2015/16,037,Kakamega,7403.6,cra.go.ke
2015/16,038,Vihiga,3013.4,cra.go.ke
2015/16,039,Bungoma,6286.5,cra.go.ke
2015/16,040,Busia,3922.6,cra.go.ke
2015/16,041,Siaya,4208.3,cra.go.ke
2015/16,042,Kisumu,5117.5,cra.go.ke
2015/16,043,Homa Bay,4753.9,cra.go.ke
2015/16,044,Migori,4624.0,cra.go.ke
2015/16,045,Kisii,5455.3,cra.go.ke
2015/16,046,Nyamira,3065.3,cra.go.ke
2015/16,047,Nairobi,11326.1,cra.go.ke
2016/17,001,Mombasa,6559.0,cra.go.ke
2016/17,002,Kwale,4596.9,cra.go.ke
2016/17,003,Kilifi,6923.4,cra.go.ke
2016/17,004,Tana River,3643.9,cra.go.ke
2016/17,005,Lamu,2466.6,cra.go.ke
2016/17,006,Taita-Taveta,3223.4,cra.go.ke
2016/17,007,Garissa,4933.3,cra.go.ke
2016/17,008,Wajir,4961.3,cra.go.ke
2016/17,009,Mandera,5353.7,cra.go.ke
2016/17,010,Marsabit,4428.7,cra.go.ke
2016/17,011,Isiolo,2999.2,cra.go.ke
2016/17,012,Meru,6839.3,cra.go.ke
2016/17,013,Tharaka-Nithi,3055.3,cra.go.ke
2016/17,014,Embu,3587.8,cra.go.ke
2016/17,015,Kitui,6278.7,cra.go.ke
2016/17,016,Machakos,6222.7,cra.go.ke
2016/17,017,Makueni,5297.7,cra.go.ke
2016/17,018,Nyandarua,3812.1,cra.go.ke
2016/17,019,Nyeri,4232.5,cra.go.ke
2016/17,020,Kirinyaga,3223.4,cra.go.ke
2016/17,021,Murang'a,4905.2,cra.go.ke
2016/17,022,Kiambu,7484.0,cra.go.ke
2016/17,023,Turkana,7652.2,cra.go.ke
2016/17,024,West Pokot,3952.2,cra.go.ke
2016/17,025,Samburu,3419.7,cra.go.ke
2016/17,026,Trans-Nzoia,4372.7,cra.go.ke
2016/17,027,Uasin Gishu,4849.2,cra.go.ke
2016/17,028,Elgeyo-Marakwet,3195.4,cra.go.ke
2016/17,029,Nandi,4512.8,cra.go.ke
2016/17,030,Baringo,4260.6,cra.go.ke
2016/17,031,Laikipia,3447.7,cra.go.ke
2016/17,032,Nakuru,7960.5,cra.go.ke
2016/17,033,Narok,5549.9,cra.go.ke
2016/17,034,Kajiado,5017.4,cra.go.ke
2016/17,035,Kericho,4232.5,cra.go.ke
2016/17,036,Bomet,4148.4,cra.go.ke
2016/17,037,Kakamega,7988.6,cra.go.ke
2016/17,038,Vihiga,3251.5,cra.go.ke
2016/17,039,Bungoma,6783.3,cra.go.ke
2016/17,040,Busia,4232.5,cra.go.ke
2016/17,041,Siaya,4540.9,cra.go.ke
2016/17,042,Kisumu,5521.9,cra.go.ke
2016/17,043,Homa Bay,5129.5,cra.go.ke
2016/17,044,Migori,4989.3,cra.go.ke
2016/17,045,Kisii,5886.3,cra.go.ke
2016/17,046,Nyamira,3307.5,cra.go.ke
2016/17,047,Nairobi,12221.1,cra.go.ke
2017/18,001,Mombasa,7066.8,cra.go.ke
2017/18,002,Kwale,4952.8,cra.go.ke
2017/18,003,Kilifi,7459.4,cra.go.ke
2017/18,004,Tana River,3926.0,cra.go.ke
2017/18,005,Lamu,2657.6,cra.go.ke
2017/18,006,Taita-Taveta,3473.0,cra.go.ke
2017/18,007,Garissa,5315.2,cra.go.ke
2017/18,008,Wajir,5345.4,cra.go.ke
2017/18,009,Mandera,5768.2,cra.go.ke
2017/18,010,Marsabit,4771.6,cra.go.ke
2017/18,011,Isiolo,3231.4,cra.go.ke
2017/18,012,Meru,7368.8,cra.go.ke
2017/18,013,Tharaka-Nithi,3291.8,cra.go.ke
2017/18,014,Embu,3865.6,cra.go.ke
2017/18,015,Kitui,6764.8,cra.go.ke
2017/18,016,Machakos,6704.4,cra.go.ke
2017/18,017,Makueni,5707.8,cra.go.ke
2017/18,018,Nyandarua,4107.2,cra.go.ke
2017/18,019,Nyeri,4560.2,cra.go.ke
2017/18,020,Kirinyaga,3473.0,cra.go.ke
2017/18,021,Murang'a,5285.0,cra.go.ke
2017/18,022,Kiambu,8063.4,cra.go.ke
2017/18,023,Turkana,8244.6,cra.go.ke
2017/18,024,West Pokot,4258.2,cra.go.ke
2017/18,025,Samburu,3684.4,cra.go.ke
2017/18,026,Trans-Nzoia,4711.2,cra.go.ke
2017/18,027,Uasin Gishu,5224.6,cra.go.ke
2017/18,028,Elgeyo-Marakwet,3442.8,cra.go.ke
2017/18,029,Nandi,4862.2,cra.go.ke
2017/18,030,Baringo,4590.4,cra.go.ke
2017/18,031,Laikipia,3714.6,cra.go.ke
2017/18,032,Nakuru,8576.8,cra.go.ke
2017/18,033,Narok,5979.6,cra.go.ke
2017/18,034,Kajiado,5405.8,cra.go.ke
2017/18,035,Kericho,4560.2,cra.go.ke
2017/18,036,Bomet,4469.6,cra.go.ke
2017/18,037,Kakamega,8607.0,cra.go.ke
2017/18,038,Vihiga,3503.2,cra.go.ke
2017/18,039,Bungoma,7308.4,cra.go.ke
2017/18,040,Busia,4560.2,cra.go.ke
2017/18,041,Siaya,4892.4,cra.go.ke
2017/18,042,Kisumu,5949.4,cra.go.ke
2017/18,043,Homa Bay,5526.6,cra.go.ke
2017/18,044,Migori,5375.6,cra.go.ke
2017/18,045,Kisii,6342.0,cra.go.ke
2017/18,046,Nyamira,3563.6,cra.go.ke
2017/18,047,Nairobi,13167.2,cra.go.ke
2018/19,001,Mombasa,7347.6,cra.go.ke
2018/19,002,Kwale,5149.6,cra.go.ke
2018/19,003,Kilifi,7755.8,cra.go.ke
2018/19,004,Tana River,4082.0,cra.go.ke
2018/19,005,Lamu,2763.2,cra.go.ke
2018/19,006,Taita-Taveta,3611.0,cra.go.ke
2018/19,007,Garissa,5526.4,cra.go.ke
2018/19,008,Wajir,5557.8,cra.go.ke
2018/19,009,Mandera,5997.4,cra.go.ke
2018/19,010,Marsabit,4961.2,cra.go.ke
2018/19,011,Isiolo,3359.8,cra.go.ke
2018/19,012,Meru,7661.6,cra.go.ke
2018/19,013,Tharaka-Nithi,3422.6,cra.go.ke
2018/19,014,Embu,4019.2,cra.go.ke
2018/19,015,Kitui,7033.6,cra.go.ke
2018/19,016,Machakos,6970.8,cra.go.ke
2018/19,017,Makueni,5934.6,cra.go.ke
2018/19,018,Nyandarua,4270.4,cra.go.ke
2018/19,019,Nyeri,4741.4,cra.go.ke
2018/19,020,Kirinyaga,3611.0,cra.go.ke
2018/19,021,Murang'a,5495.0,cra.go.ke
2018/19,022,Kiambu,8383.8,cra.go.ke
2018/19,023,Turkana,8572.2,cra.go.ke
2018/19,024,West Pokot,4427.4,cra.go.ke
2018/19,025,Samburu,3830.8,cra.go.ke
2018/19,026,Trans-Nzoia,4898.4,cra.go.ke
2018/19,027,Uasin Gishu,5432.2,cra.go.ke
2018/19,028,Elgeyo-Marakwet,3579.6,cra.go.ke
2018/19,029,Nandi,5055.4,cra.go.ke
2018/19,030,Baringo,4772.8,cra.go.ke
2018/19,031,Laikipia,3862.2,cra.go.ke
2018/19,032,Nakuru,8917.6,cra.go.ke
2018/19,033,Narok,6217.2,cra.go.ke
2018/19,034,Kajiado,5620.6,cra.go.ke
2018/19,035,Kericho,4741.4,cra.go.ke
2018/19,036,Bomet,4647.2,cra.go.ke
2018/19,037,Kakamega,8949.0,cra.go.ke
2018/19,038,Vihiga,3642.4,cra.go.ke
2018/19,039,Bungoma,7598.8,cra.go.ke
2018/19,040,Busia,4741.4,cra.go.ke
2018/19,041,Siaya,5086.8,cra.go.ke
2018/19,042,Kisumu,6185.8,cra.go.ke
2018/19,043,Homa Bay,5746.2,cra.go.ke
2018/19,044,Migori,5589.2,cra.go.ke
2018/19,045,Kisii,6594.0,cra.go.ke
2018/19,046,Nyamira,3705.2,cra.go.ke
2018/19,047,Nairobi,13690.4,cra.go.ke
2019/20,001,Mombasa,7406.1,cra.go.ke
2019/20,002,Kwale,5190.6,cra.go.ke
2019/20,003,Kilifi,7817.6,cra.go.ke
2019/20,004,Tana River,4114.5,cra.go.ke
2019/20,005,Lamu,2785.2,cra.go.ke
2019/20,006,Taita-Taveta,3639.8,cra.go.ke
2019/20,007,Garissa,5570.4,cra.go.ke
2019/20,008,Wajir,5602.1,cra.go.ke
2019/20,009,Mandera,6045.1,cra.go.ke
2019/20,010,Marsabit,5000.7,cra.go.ke
2019/20,011,Isiolo,3386.6,cra.go.ke
2019/20,012,Meru,7722.6,cra.go.ke
2019/20,013,Tharaka-Nithi,3449.8,cra.go.ke
2019/20,014,Embu,4051.2,cra.go.ke
2019/20,015,Kitui,7089.6,cra.go.ke
2019/20,016,Machakos,7026.3,cra.go.ke
2019/20,017,Makueni,5981.9,cra.go.ke
2019/20,018,Nyandarua,4304.4,cra.go.ke
2019/20,019,Nyeri,4779.1,cra.go.ke
2019/20,020,Kirinyaga,3639.8,cra.go.ke
2019/20,021,Murang'a,5538.8,cra.go.ke
2019/20,022,Kiambu,8450.5,cra.go.ke
2019/20,023,Turkana,8640.5,cra.go.ke
2019/20,024,West Pokot,4462.6,cra.go.ke
2019/20,025,Samburu,3861.3,cra.go.ke
2019/20,026,Trans-Nzoia,4937.4,cra.go.ke
2019/20,027,Uasin Gishu,5475.4,cra.go.ke
2019/20,028,Elgeyo-Marakwet,3608.1,cra.go.ke
2019/20,029,Nandi,5095.7,cra.go.ke
2019/20,030,Baringo,4810.8,cra.go.ke
2019/20,031,Laikipia,3892.9,cra.go.ke
2019/20,032,Nakuru,8988.6,cra.go.ke
2019/20,033,Narok,6266.7,cra.go.ke
2019/20,034,Kajiado,5665.4,cra.go.ke
2019/20,035,Kericho,4779.1,cra.go.ke
2019/20,036,Bomet,4684.2,cra.go.ke
2019/20,037,Kakamega,9020.2,cra.go.ke
2019/20,038,Vihiga,3671.4,cra.go.ke
2019/20,039,Bungoma,7659.3,cra.go.ke
2019/20,040,Busia,4779.1,cra.go.ke
2019/20,041,Siaya,5127.3,cra.go.ke
2019/20,042,Kisumu,6235.1,cra.go.ke
2019/20,043,Homa Bay,5791.9,cra.go.ke
2019/20,044,Migori,5633.7,cra.go.ke
2019/20,045,Kisii,6646.5,cra.go.ke
2019/20,046,Nyamira,3734.7,cra.go.ke
2019/20,047,Nairobi,13799.4,cra.go.ke
2020/21,001,Mombasa,7406.1,cra.go.ke
2020/21,002,Kwale,5190.6,cra.go.ke
2020/21,003,Kilifi,7817.6,cra.go.ke
2020/21,004,Tana River,4114.5,cra.go.ke
2020/21,005,Lamu,2785.2,cra.go.ke
2020/21,006,Taita-Taveta,3639.8,cra.go.ke
2020/21,007,Garissa,5570.4,cra.go.ke
2020/21,008,Wajir,5602.1,cra.go.ke
2020/21,009,Mandera,6045.1,cra.go.ke
2020/21,010,Marsabit,5000.7,cra.go.ke
2020/21,011,Isiolo,3386.6,cra.go.ke
2020/21,012,Meru,7722.6,cra.go.ke
2020/21,013,Tharaka-Nithi,3449.8,cra.go.ke
2020/21,014,Embu,4051.2,cra.go.ke
2020/21,015,Kitui,7089.6,cra.go.ke
2020/21,016,Machakos,7026.3,cra.go.ke
2020/21,017,Makueni,5981.9,cra.go.ke
2020/21,018,Nyandarua,4304.4,cra.go.ke
2020/21,019,Nyeri,4779.1,cra.go.ke
2020/21,020,Kirinyaga,3639.8,cra.go.ke
2020/21,021,Murang'a,5538.8,cra.go.ke
2020/21,022,Kiambu,8450.5,cra.go.ke
2020/21,023,Turkana,8640.5,cra.go.ke
2020/21,024,West Pokot,4462.6,cra.go.ke
2020/21,025,Samburu,3861.3,cra.go.ke
2020/21,026,Trans-Nzoia,4937.4,cra.go.ke
2020/21,027,Uasin Gishu,5475.4,cra.go.ke
2020/21,028,Elgeyo-Marakwet,3608.1,cra.go.ke
2020/21,029,Nandi,5095.7,cra.go.ke
2020/21,030,Baringo,4810.8,cra.go.ke
2020/21,031,Laikipia,3892.9,cra.go.ke
2020/21,032,Nakuru,8988.6,cra.go.ke
2020/21,033,Narok,6266.7,cra.go.ke
2020/21,034,Kajiado,5665.4,cra.go.ke
2020/21,035,Kericho,4779.1,cra.go.ke
2020/21,036,Bomet,4684.2,cra.go.ke
2020/21,037,Kakamega,9020.2,cra.go.ke
2020/21,038,Vihiga,3671.4,cra.go.ke
2020/21,039,Bungoma,7659.3,cra.go.ke
2020/21,040,Busia,4779.1,cra.go.ke
2020/21,041,Siaya,5127.3,cra.go.ke
2020/21,042,Kisumu,6235.1,cra.go.ke
2020/21,043,Homa Bay,5791.9,cra.go.ke
2020/21,044,Migori,5633.7,cra.go.ke
2020/21,045,Kisii,6646.5,cra.go.ke
2020/21,046,Nyamira,3734.7,cra.go.ke
2020/21,047,Nairobi,13799.4,cra.go.ke
2021/22,001,Mombasa,8658.0,cra.go.ke
2021/22,002,Kwale,6068.0,cra.go.ke
2021/22,003,Kilifi,9139.0,cra.go.ke
2021/22,004,Tana River,4810.0,cra.go.ke
2021/22,005,Lamu,3256.0,cra.go.ke
2021/22,006,Taita-Taveta,4255.0,cra.go.ke
2021/22,007,Garissa,6512.0,cra.go.ke
2021/22,008,Wajir,6549.0,cra.go.ke
2021/22,009,Mandera,7067.0,cra.go.ke
2021/22,010,Marsabit,5846.0,cra.go.ke
2021/22,011,Isiolo,3959.0,cra.go.ke
2021/22,012,Meru,9028.0,cra.go.ke
2021/22,013,Tharaka-Nithi,4033.0,cra.go.ke
2021/22,014,Embu,4736.0,cra.go.ke
2021/22,015,Kitui,8288.0,cra.go.ke
2021/22,016,Machakos,8214.0,cra.go.ke
2021/22,017,Makueni,6993.0,cra.go.ke
2021/22,018,Nyandarua,5032.0,cra.go.ke
2021/22,019,Nyeri,5587.0,cra.go.ke
2021/22,020,Kirinyaga,4255.0,cra.go.ke
2021/22,021,Murang'a,6475.0,cra.go.ke
2021/22,022,Kiambu,9879.0,cra.go.ke
2021/22,023,Turkana,10101.0,cra.go.ke
2021/22,024,West Pokot,5217.0,cra.go.ke
2021/22,025,Samburu,4514.0,cra.go.ke
2021/22,026,Trans-Nzoia,5772.0,cra.go.ke
2021/22,027,Uasin Gishu,6401.0,cra.go.ke
2021/22,028,Elgeyo-Marakwet,4218.0,cra.go.ke
2021/22,029,Nandi,5957.0,cra.go.ke
2021/22,030,Baringo,5624.0,cra.go.ke
2021/22,031,Laikipia,4551.0,cra.go.ke
2021/22,032,Nakuru,10508.0,cra.go.ke
2021/22,033,Narok,7326.0,cra.go.ke
2021/22,034,Kajiado,6623.0,cra.go.ke
2021/22,035,Kericho,5587.0,cra.go.ke
2021/22,036,Bomet,5476.0,cra.go.ke
2021/22,037,Kakamega,10545.0,cra.go.ke
2021/22,038,Vihiga,4292.0,cra.go.ke
2021/22,039,Bungoma,8954.0,cra.go.ke
2021/22,040,Busia,5587.0,cra.go.ke
2021/22,041,Siaya,5994.0,cra.go.ke
2021/22,042,Kisumu,7289.0,cra.go.ke
2021/22,043,Homa Bay,6771.0,cra.go.ke
2021/22,044,Migori,6586.0,cra.go.ke
2021/22,045,Kisii,7770.0,cra.go.ke
2021/22,046,Nyamira,4366.0,cra.go.ke
2021/22,047,Nairobi,16132.0,cra.go.ke
2022/23,001,Mombasa,9018.4,cra.go.ke
2022/23,002,Kwale,6320.6,cra.go.ke
2022/23,003,Kilifi,9519.4,cra.go.ke
2022/23,004,Tana River,5010.2,cra.go.ke
2022/23,005,Lamu,3391.5,cra.go.ke
2022/23,006,Taita-Taveta,4432.1,cra.go.ke
2022/23,007,Garissa,6783.0,cra.go.ke
2022/23,008,Wajir,6821.6,cra.go.ke
2022/23,009,Mandera,7361.1,cra.go.ke
2022/23,010,Marsabit,6089.3,cra.go.ke
2022/23,011,Isiolo,4123.8,cra.go.ke
2022/23,012,Meru,9403.8,cra.go.ke
2022/23,013,Tharaka-Nithi,4200.9,cra.go.ke
2022/23,014,Embu,4933.1,cra.go.ke
2022/23,015,Kitui,8633.0,cra.go.ke
2022/23,016,Machakos,8555.9,cra.go.ke
2022/23,017,Makueni,7284.1,cra.go.ke
2022/23,018,Nyandarua,5241.4,cra.go.ke
2022/23,019,Nyeri,5819.5,cra.go.ke
2022/23,020,Kirinyaga,4432.1,cra.go.ke
2022/23,021,Murang'a,6744.5,cra.go.ke
2022/23,022,Kiambu,10290.2,cra.go.ke
2022/23,023,Turkana,10521.4,cra.go.ke
2022/23,024,West Pokot,5434.1,cra.go.ke
2022/23,025,Samburu,4701.9,cra.go.ke
2022/23,026,Trans-Nzoia,6012.2,cra.go.ke
2022/23,027,Uasin Gishu,6667.4,cra.go.ke
2022/23,028,Elgeyo-Marakwet,4393.6,cra.go.ke
2022/23,029,Nandi,6204.9,cra.go.ke
2022/23,030,Baringo,5858.1,cra.go.ke
2022/23,031,Laikipia,4740.4,cra.go.ke
2022/23,032,Nakuru,10945.4,cra.go.ke
2022/23,033,Narok,7630.9,cra.go.ke
2022/23,034,Kajiado,6898.7,cra.go.ke
2022/23,035,Kericho,5819.5,cra.go.ke
2022/23,036,Bomet,5703.9,cra.go.ke
2022/23,037,Kakamega,10983.9,cra.go.ke
2022/23,038,Vihiga,4470.6,cra.go.ke
2022/23,039,Bungoma,9326.7,cra.go.ke
2022/23,040,Busia,5819.5,cra.go.ke
2022/23,041,Siaya,6243.5,cra.go.ke
2022/23,042,Kisumu,7592.4,cra.go.ke
2022/23,043,Homa Bay,7052.8,cra.go.ke
2022/23,044,Migori,6860.1,cra.go.ke
2022/23,045,Kisii,8093.4,cra.go.ke
2022/23,046,Nyamira,4547.7,cra.go.ke
2022/23,047,Nairobi,16803.4,cra.go.ke
2023/24,001,Mombasa,9362.3,cra.go.ke
2023/24,002,Kwale,6561.6,cra.go.ke
2023/24,003,Kilifi,9882.5,cra.go.ke
2023/24,004,Tana River,5201.3,cra.go.ke
2023/24,005,Lamu,3520.9,cra.go.ke
2023/24,006,Taita-Taveta,4601.1,cra.go.ke
2023/24,007,Garissa,7041.8,cra.go.ke
2023/24,008,Wajir,7081.8,cra.go.ke
2023/24,009,Mandera,7641.9,cra.go.ke
2023/24,010,Marsabit,6321.6,cra.go.ke
2023/24,011,Isiolo,4281.1,cra.go.ke
2023/24,012,Meru,9762.4,cra.go.ke
2023/24,013,Tharaka-Nithi,4361.1,cra.go.ke
2023/24,014,Embu,5121.3,cra.go.ke
2023/24,015,Kitui,8962.2,cra.go.ke
2023/24,016,Machakos,8882.2,cra.go.ke
2023/24,017,Makueni,7561.9,cra.go.ke
2023/24,018,Nyandarua,5441.4,cra.go.ke
2023/24,019,Nyeri,6041.5,cra.go.ke
2023/24,020,Kirinyaga,4601.1,cra.go.ke
2023/24,021,Murang'a,7001.8,cra.go.ke
2023/24,022,Kiambu,10682.7,cra.go.ke
2023/24,023,Turkana,10922.7,cra.go.ke
2023/24,024,West Pokot,5641.4,cra.go.ke
2023/24,025,Samburu,4881.2,cra.go.ke
2023/24,026,Trans-Nzoia,6241.6,cra.go.ke
2023/24,027,Uasin Gishu,6921.7,cra.go.ke
2023/24,028,Elgeyo-Marakwet,4561.1,cra.go.ke
2023/24,029,Nandi,6441.6,cra.go.ke
2023/24,030,Baringo,6081.5,cra.go.ke
2023/24,031,Laikipia,4921.2,cra.go.ke
2023/24,032,Nakuru,11362.8,cra.go.ke
2023/24,033,Narok,7922.0,cra.go.ke
2023/24,034,Kajiado,7161.8,cra.go.ke
2023/24,035,Kericho,6041.5,cra.go.ke
2023/24,036,Bomet,5921.5,cra.go.ke
2023/24,037,Kakamega,11402.9,cra.go.ke
2023/24,038,Vihiga,4641.2,cra.go.ke
2023/24,039,Bungoma,9682.4,cra.go.ke
2023/24,040,Busia,6041.5,cra.go.ke
2023/24,041,Siaya,6481.6,cra.go.ke
2023/24,042,Kisumu,7882.0,cra.go.ke
2023/24,043,Homa Bay,7321.8,cra.go.ke
2023/24,044,Migori,7121.8,cra.go.ke
2023/24,045,Kisii,8402.1,cra.go.ke
2023/24,046,Nyamira,4721.2,cra.go.ke
2023/24,047,Nairobi,17444.4,cra.go.ke
