fiscal_year,county_code,county_name,indicator_id,value,source
2018,000,National,hospital_beds_per_1000,1.6,KNBS Economic Survey
2019,000,National,hospital_beds_per_1000,1.7,KNBS Economic Survey
2020,000,National,hospital_beds_per_1000,1.8,KNBS Economic Survey
2021,000,National,hospital_beds_per_1000,1.8,KNBS Economic Survey
2022,000,National,hospital_beds_per_1000,1.8,KNBS Economic Survey
2023,000,National,hospital_beds_per_1000,1.9,KNBS Economic Survey
2024,000,National,hospital_beds_per_1000,1.9,KNBS Economic Survey
2013,000,National,paved_road_km,11796,KNBS Economic Survey
2014,000,National,paved_road_km,12200,KNBS Economic Survey
2015,000,National,paved_road_km,13500,KNBS Economic Survey
2016,000,National,paved_road_km,14200,KNBS Economic Survey
2017,000,National,paved_road_km,14800,KNBS Economic Survey
2018,000,National,paved_road_km,15500,KNBS Economic Survey
2019,000,National,paved_road_km,16100,KNBS Economic Survey
2020,000,National,paved_road_km,16600,KNBS Economic Survey
2021,000,National,paved_road_km,17100,KNBS Economic Survey
2022,000,National,paved_road_km,17800,KNBS Economic Survey
2023,000,National,paved_road_km,18400,KNBS Economic Survey
2024,000,National,paved_road_km,19000,KNBS Economic Survey
